,qid,ATP,answer,EIGV,HGA,IGV,VGT,frame_count,question,type,a0,a1,a2,a3,a4,all_correct,all_wrong,ATP_correct,EIGV_correct,HGA_correct,IGV_correct,VGT_correct
4385,8614954803_0,1,1,1,1,4,1,2697,why is the lady in green moving her hands,CW,balance herself,gesturing while talking,eating apple,packing food for them,experiment,True,False,True,True,True,False,True
4392,3223951946_9,3,3,3,3,1,3,474,what is the relationship between the two people,DO,trainer trainee,grandparent offspring,performers,friends,coworkers,True,False,True,True,True,False,True
4393,8283116453_8,1,1,1,1,4,1,1116,how many musicians are there,DC,seven,two,six,three,one,True,False,True,True,True,False,True
4398,7033605719_2,3,3,3,3,4,3,390,how does the man do to protect and support the kid sitting,DO,kick away the ball,put on helmet,kiss baby,holding him with his arm,help wear thick clothings,True,False,True,True,True,False,True
4399,3228132498_4,2,2,2,2,0,2,1167,how does the groom and the bride show their love,CH,dance together,kick each other,hug and kiss,clap each other s hands,wear couple clothes,True,False,True,True,True,False,True
4404,7610762882_0,2,2,2,2,1,2,838,why did the man in light blue approach the man in red at the start,CW,looking at tablet,to fly kite,help him with the line,avoid the sun outside,to take the ball,True,False,True,True,True,False,True
4405,3575108079_6,3,3,3,3,4,3,1526,how did the lady in white see clearly,DO,rotating her,sits closer to the statue,rubs the dog,wear glasses,dance,True,False,True,True,True,False,True
4409,8340480194_2,4,4,4,4,1,4,488,why is the dark grey dog lying on the cushion in the middle of the video,CW,being wiped by an adult,check the script,playing with the person,wants to play with toy dropped,resting,True,False,True,True,True,False,True
4412,2794873229_6,3,3,3,3,1,3,1437,where is this place,DL,theatre,park,golf course,a room,classroom,True,False,True,True,True,False,True
4420,4400018396_5,2,2,2,2,4,2,648,why did the girl move her hands up and down,CW,clean window,shake the bottle,play the keyboard,wave to boy,caress dog,True,False,True,True,True,False,True
4421,2685930614_3,3,3,3,3,0,3,430,why did the caucasian lady in the red apron walk away from her work station near the beginning,CW,finish talking,look at the baby,keep the broom stick,change work,with her hand,True,False,True,True,True,False,True
4422,4656745906_0,4,4,4,4,1,4,2697,why are there two people dressed in white failing their arms around,CW,scaring animals away,experimenting with chemicals,scaring people away,posing for the camera,performing,True,False,True,True,True,False,True
4424,4892549531_3,3,3,3,3,0,3,1767,why did the guy in white spinning around at the start of the video,CW,riding a carousel,catching raindrops,to show her where to walk,acting,excited,True,False,True,True,True,False,True
4431,5849071543_0,0,0,0,0,0,0,1102,how did the people protect their head from injury,DO,wear helmet,with bandage,wear headband,swimming cap,hairtie,True,False,True,True,True,True,True
4438,5524185835_3,4,4,4,4,4,4,797,why does the lady in blue walk across the stage,CW,let child give speech,talking to lady in white,take a microphone,adjust her speakers,to perform,True,False,True,True,True,True,True
4445,2574703259_5,1,1,1,1,4,1,2697,what emotion is the baby conveying,DO,worry,happy,frustration,calm,nervous,True,False,True,True,True,False,True
4447,2703151976_7,0,0,0,0,0,0,1351,why is the lady standing in front of the podium,CW,give speech,repair the microphone,shake hands with man,singing,pull her sleeves down,True,False,True,True,True,True,True
4448,3070014782_3,2,2,2,2,4,2,450,why did the old lady stretch her two hands out in the middle of the video,CW,talk to her,carry her up,attract the baby girl,baby leg is there,touch the dog,True,False,True,True,True,False,True
4452,3705663920_0,0,0,0,0,0,0,683,how did the man protect his head from injury,DO,wearing helmet,wear glove,sunglasses,move left and right,goggles,True,False,True,True,True,True,True
4453,4353169496_2,4,4,4,4,4,4,2697,why did the lady in red move her arms,CW,talking to someone on the grass,waiting for the pan,exercise,catch a ball,gesture while talking,True,False,True,True,True,True,True
4457,3300272359_6,0,0,0,0,0,0,1202,where is this video taken,DL,living room,sheltered area,dining table,roadside,outside,True,False,True,True,True,True,True
4467,3440542069_2,1,1,1,1,1,1,817,why does the woman tilt the bottle up,CW,waving,so baby can drink better,posing,enjoying and playing,exercising,True,False,True,True,True,True,True
4473,3759094243_4,2,2,2,2,1,2,924,where is this activity held at,DL,church,bus park place,beach,study room,studio,True,False,True,True,True,False,True
4475,3434653211_4,3,3,3,3,4,3,421,why did the boy point to the top of the exhibit when he stood right in front of it,CW,a bird flew past,excited about the drawings,there was a helium balloon,show what he talks about,take a picture of the exhibitions,True,False,True,True,True,False,True
4476,3350068648_1,3,3,3,3,4,3,687,how did the man in black ensured he can see his surrounding clearly,DO,shine light,walk up and down,check his scripts,spectacles,shocked,True,False,True,True,True,False,True
4480,6134687264_9,3,3,3,3,4,3,431,where are the people hanging out,DL,grass,water fountain,forest trail,home,outside a building,True,False,True,True,True,False,True
4483,4924794333_8,3,3,3,3,4,3,1058,how is the man positioned,DO,on his knees,standing,squatting,sitting,dancing,True,False,True,True,True,False,True
4484,2428846087_3,3,3,3,3,4,3,818,what was the lady doing before she started paddling,TP,wipe baby s mouth,walk off,take the balloon,sitting in the canoe,walking down the pavement,True,False,True,True,True,False,True
4493,5353486947_3,3,3,3,3,4,3,464,how does the baby look while playing with the lady,TC,sad,angry,worried,happy,hungry,True,False,True,True,True,False,True
4507,5995224103_5,4,4,4,4,1,4,1123,where is this place,DL,golf course,martial arts classroom,a hut,restaurant,living room,True,False,True,True,True,False,True
4509,7828681900_4,2,2,2,2,4,2,544,where is this video taken,DL,ballroom,sheltered area,riverside,supermarket,playground,True,False,True,True,True,False,True
4515,8031010690_2,0,0,0,0,0,0,526,where is this place,DL,living room,porch outside house,in a building,dirt field,waterfall,True,False,True,True,True,True,True
4525,3525178080_3,1,1,1,1,4,1,570,why did the two men in white shirts stretched their arms out to the side,CW,massage,balance themselves,tired,attempt to fly,getting into swimming position,True,False,True,True,True,False,True
4527,12764453004_3,2,2,2,2,1,2,676,why does the child extend her arm forward,CW,celebrate,dancing,push cart,custom of trick or treating,catch a ball,True,False,True,True,True,False,True
4529,6071633426_4,4,4,4,4,0,4,2674,how did the person feed the baby food,CH,milk bottle,chopsticks,fork,hand,spoon,True,False,True,True,True,False,True
4532,9598464461_10,3,3,3,3,4,3,1180,how many times did the lady stroke the goat,DC,four,eight,five,two,three,True,False,True,True,True,False,True
4541,10437686463_11,1,1,1,1,4,1,587,why did the girls bend their back at the start of the video,CW,pick up leash,bowing action,pick up toy,pick the baby up,fidgeting,True,False,True,True,True,False,True
4542,2925748611_4,4,4,4,4,0,4,355,what is the device shown in the video,DO,toy,cup,music instrument,pen,phone,True,False,True,True,True,False,True
4545,2623063774_8,2,2,2,2,0,2,1052,how did the boy bring the colourful toy closer to him,CH,pull it with a string,asked for help,pick it up,using his legs,remote controller,True,False,True,True,True,False,True
4548,8674344665_2,2,2,2,2,1,2,415,why does the crocodile stay in the same position,CW,looking for prey,getting attracted by people,resting,prevent bite,toy to attract baby s attention,True,False,True,True,True,False,True
4553,4740931975_4,1,1,1,1,0,1,960,why did the man bend down in the middle of the video,CW,adjust his seat,pick up the fish,resting on the yellow object,hand gesture to throw,pick up skateboard,True,False,True,True,True,False,True
4557,8886103892_5,0,0,0,0,0,0,798,where is this happening,DL,park,river,trail,bus,house,True,False,True,True,True,True,True
4563,4536434821_3,3,3,3,3,1,3,1380,why does the black bird come at the blue bird at the end of the video,CW,look at white dog,let go of the rocks,catch it,to get blue bird away,look at baby,True,False,True,True,True,False,True
4565,3141642801_7,1,1,1,1,1,1,571,what was the boy in black doing at the end of the video,TC,stood back up,adjusting equipment,started singing,enters a room,turn behind to look,True,False,True,True,True,True,True
4568,10734790773_0,4,4,4,4,4,4,1126,how did the toddlers feel during the meal,TC,sad,bored and uninterested,tired,angry,happy,True,False,True,True,True,True,True
4575,5883748313_2,0,0,0,0,0,0,1002,how does the child show that he is unhappy,CH,cry,kicks railings,stands upright,use fingers to press buttons,hit adult,True,False,True,True,True,True,True
4587,5415466680_5,0,0,0,0,0,0,2697,where is this video taken,DL,stage,outdoors,zoo,ocean,park,True,False,True,True,True,True,True
4588,5419971337_0,3,3,3,3,4,3,453,why is the man sitting with a model toy running on small track,CW,playing with girl,investigating,waiting for man,making and watching his model,pretending to drive,True,False,True,True,True,False,True
4595,6516498145_8,1,1,1,1,4,1,599,why was the lady showing the card to the girl,CW,demonstrate how to drink,asking girl to do the action,teach the girl how to drink better,stabilise her,teach her how to use the dog s collar,True,False,True,True,True,False,True
4600,4289404873_1,4,4,4,4,4,4,1355,why is the man carrying a huge bag on his back and walking towards a group of people,CW,witness for the oath,he is dancing,scared of snake,curious,hiking,True,False,True,True,True,True,True
4601,3653430541_9,2,2,2,2,4,2,384,how does the man in green react right before the cyclist comes,TP,continue driving,lean forward to look,smile,move his legs,look at man in green,True,False,True,True,True,False,True
4605,9711707112_1,2,2,2,2,4,2,549,what was the woman in blue doing at the start as the lady in grey was standing on the road,TC,walk white dog,copy her actions,taking photo,stand still,touch her chin,True,False,True,True,True,False,True
4612,3769795457_4,3,3,3,3,4,3,1905,how did the boy in blue asked the boy in white to open the door,CH,pick the baby with his hands,hand gesture,scooter,knock on the door,straight above the girls head,True,False,True,True,True,False,True
4619,10316970886_5,4,4,4,4,0,4,871,how does the woman make the blanket tighter at the beginning,CH,carry using left arm,man holding her,sitting,holding and pulling it,adjust blanket,True,False,True,True,True,False,True
4627,7389955172_1,2,2,2,2,4,2,1773,why did the baby move his arms forward to the table before he was fed,CW,take tissues,wave to camera,reaching for food,take a cloth,reach for chocolates,True,False,True,True,True,False,True
4628,2996876993_1,0,0,0,0,0,0,720,why is the girl sitting in between the legs of the lady,CW,comfortable,reading a book,adjusting her shoes,watching a video,unwrap the presents,True,False,True,True,True,True,True
4629,4740931975_0,2,2,2,2,0,2,960,how did the man protect his head from the sun,DO,helmet,beanie,cap,scarf,hoodie,True,False,True,True,True,False,True
4631,3575108079_5,3,3,3,3,4,3,1526,what is the old lady doing as the lady in white and man in black was talking,TC,point towards the board,paper and microphone,cups,sitting and looking,happy,True,False,True,True,True,False,True
4634,5550305641_5,1,1,1,1,4,1,2697,how did the boy move his tricycle,CH,use sticks to hit it,pedal,pull by car,carry with hands,push by man in red,True,False,True,True,True,False,True
4643,9720764244_1,4,4,4,4,1,4,595,how did the boy react when standing in front of the woman in blue suit,TC,goes to get food,open his hands wide,walks away from the woman,bite a slip of paper,shy,True,False,True,True,True,False,True
4644,3571539122_4,2,2,2,2,4,2,415,what happens to the flash lights on stage after the men finishes the performance,TN,hand gesture,takes out some paper,it stops,stand in a line,hugs mascot,True,False,True,True,True,False,True
4648,8568772570_9,4,4,4,4,1,4,651,what is the relationship between the four people,DO,parent offspring,team member,colleague,wooden sword,friends,True,False,True,True,True,False,True
4649,4684348177_5,3,3,3,3,1,3,401,where is this happening,DL,orchestra hall,road,lake,living room,zoo,True,False,True,True,True,False,True
4653,3404210548_8,2,2,2,2,0,2,445,why is the sleigh able to go through the snow bump,CW,drove at full speed,wheelers are moving fast,slope,sleigh is brand new,pushed from behind,True,False,True,True,True,False,True
4654,3300272359_1,0,0,0,0,0,0,1202,what did the man do after the girl moved her head around,TN,moved his head too,point finger,show affection,moves backward,oversees,True,False,True,True,True,True,True
4663,2776910060_1,4,4,4,4,4,4,1241,how did the man in black support the baby to stand,CH,walk with him,put baby on his lap,baby stroller,lifted his shoulder,hold baby,True,False,True,True,True,True,True
4667,3343269521_6,3,3,3,3,0,3,1858,why did the cat put its head into the toilet bowl,CW,curious what inside,relax,trying to reach the height,smell the paper inside,to fight with dog,True,False,True,True,True,False,True
4677,3495630576_2,1,1,1,1,4,1,396,why is lot of water streaming out from the top of the house,CW,hanging out,raining,stretch the wings,to be cleaned,prepare for jumping,True,False,True,True,True,False,True
4680,5221530771_0,0,0,0,0,1,0,1056,where are the women,DL,stage,jungle,river,car,mountain,True,False,True,True,True,False,True
4687,6095248978_4,4,4,4,4,4,4,2250,why does the man move the child in red from his left to his right leg,CW,make space to grab toy,help child slide down,support himself up,help child crawl to lady,make space for child in black,True,False,True,True,True,True,True
4688,6321842912_6,4,4,4,4,0,4,312,where are the people hanging out,DL,playground,classroom,car,beach,bedroom,True,False,True,True,True,False,True
4689,3204890216_10,1,1,1,1,1,1,759,what does the dog do after approaching the rocks,TN,tried to play with the cat,smells the rocks,put hand on floor,look at baby,carry dog up,True,False,True,True,True,True,True
4697,3020343223_6,1,1,1,1,4,1,1502,how did the man in white amplified his voice in the video,CH,shout loudly,microphone,speaking loudly,loudspeaker,scream loudly,True,False,True,True,True,False,True
4698,4555151860_7,1,1,1,1,4,1,1423,what does the kid do after leaning towards the cake,TN,excited and happy,blow candle,excited,look at lights,give it to the girl,True,False,True,True,True,False,True
4702,5419971337_6,2,2,2,2,4,2,453,why was the model moving up and down,CW,move the cycle,track heartbeat,controlled by the man,track is bumpy,boy is shaking,True,False,True,True,True,False,True
4703,10278239024_5,0,0,0,0,0,0,1218,how does the baby moving his right hand,CH,taps the floor,hit the drum,bite it,wave it,push high chair,True,False,True,True,True,True,True
4712,3747890905_9,0,0,0,0,0,0,1152,where are the people hanging out,DL,living room,play area,jungle,by the thams,studio,True,False,True,True,True,True,True
4713,5646554288_0,2,2,2,2,4,2,542,how did the players protect their heads from injury,DO,with bandage,wear life vest,helmet,shoes,wearing swimming goggles,True,False,True,True,True,False,True
4719,3343269521_4,3,3,3,3,1,3,1858,why did the cat get up,CW,comfortable,yawn,follow toy,finished peeing,trying to reach the height,True,False,True,True,True,False,True
4720,3889087646_7,0,0,0,0,0,0,744,why did the man bend forward to the cake the second time near the end of the video,CW,remove the candles,for fun,love,enouragement,for children,True,False,True,True,True,True,True
4721,7516286866_2,4,4,4,4,4,4,438,why does the baby grab the hollow ball in the middle of the video,CW,play with the dog,teething,reach the end of the ramp,bottle taken out from mouth,to play with,True,False,True,True,True,True,True
4725,2402178262_10,3,3,3,3,1,3,1285,how did the two men keep themselves warm,DO,stay inside,wear winter boots,stay near fire,wear coats,put hands in pocket,True,False,True,True,True,False,True
4727,8996671420_1,2,2,2,2,4,2,485,why did the man slow down and look at the advertisement,CW,dance move,keep each other in check,to look at it,to stop the child,hunchbacked,True,False,True,True,True,False,True
4728,4945866176_8,2,2,2,2,1,2,2697,what did the boy in green do after the tablet fell from the stand in the middle of the video,TN,get back onto skateboard,put his arm up,adjust it straight on the floor,get up and jump,adjusts clothes,True,False,True,True,True,False,True
4734,2704088930_3,2,2,2,2,3,2,1144,why did the lady in white pass the shovel over to the boy in stripes,CW,open the can,help the girl dress,let him dig,exchange toys with him,scared,True,False,True,True,True,False,True
4736,4980235136_6,0,0,0,0,0,0,660,why do some of the buses not have their headlights on,CW,not in operation,different vehicles,emergency vehicles,to save energy,to lock their door,True,False,True,True,True,True,True
4739,2881352518_1,4,4,4,4,4,4,1999,why did the lady taking her camera going from one cat to another in the video,CW,looking at spoonn,protection from sun,adjust the camera,asking the girl to pose,recording them,True,False,True,True,True,True,True
4742,12753577835_6,0,0,0,0,0,0,840,what was the adult at the back doing,TC,watching tv,skateboarding,playing guitar,skiing,kayaking,True,False,True,True,True,True,True
4751,5353486947_4,0,0,0,0,0,0,464,what does the baby do as the woman covers her eyes at the start of the video,TC,cover eyes,put bag on her shoulder,wave to camera,picking the bags up,put food on table,True,False,True,True,True,True,True
4754,4497829146_7,3,3,3,3,1,3,810,how does the girl in red play with the red toy,CH,pass it to dog,throws it,hugs it,carries it,put on baby stroller,True,False,True,True,True,False,True
4759,6004462245_5,3,3,3,3,4,3,2474,why does the girl hit the apple with the spoon,CW,celebrate birthday,hit her hand,for baby to feed herself,to pretend scooping apple in spoon,mother day celebration,True,False,True,True,True,False,True
4761,5883403537_9,3,3,3,3,0,3,541,what did the adult do to the baby,TN,pick baby up,held against the lady,cradle hold,touch baby,feed him,True,False,True,True,True,False,True
4763,8316861265_0,2,2,2,2,4,2,1863,how is the girl feeling when performing by herself on stage,TC,frustrated,sleepy,energetic,cold,terrible,True,False,True,True,True,False,True
4765,4444103383_0,3,3,3,3,1,3,1131,what is the relationship between the people playing different instruments,DO,team member,band member,team members,friends,parent offspring,True,False,True,True,True,False,True
4770,4405327307_5,4,4,4,4,4,4,710,why is the man holding the microphone,CW,demonstrating,adjusting microphone straps,give others to speak,cleaning the microphone,singing,True,False,True,True,True,True,True
4773,6339181867_3,1,1,1,1,0,1,1843,why does the boy stands next to baby s bed,CW,want to carry baby,to look at the baby,want to carry bed,want to watch baby dance,lose balance,True,False,True,True,True,False,True
4776,8614954803_4,1,1,1,1,4,1,2697,why did the lady in black stand up and take the stage after the lady in green,CW,pack bag,her turn to present,provide toy for dog to play,safety,lead audience in energy of music,True,False,True,True,True,False,True
4780,4474292288_2,3,3,3,3,4,3,1199,why does the woman constantly stay in front of the baby the whole time he was swimming,CW,watch her moves,follow the girl,enjoying something,support baby,splash the water,True,False,True,True,True,False,True
4781,4766274786_8,0,0,0,0,0,0,979,where is this video taken,DL,living room,grassland,mountain top,beach,computer table,True,False,True,True,True,True,True
4786,4452638970_8,2,2,2,2,0,2,540,what does the man hold in his hand as he passed the badge to the boy,DO,book,bag,pen,wii controller,food,True,False,True,True,True,False,True
4787,8690893018_3,3,3,3,3,1,3,615,why are the ducks eating the pieces of bread,CW,drink,ladle food,to pour out liquid,hungry,eating halfway,True,False,True,True,True,False,True
4795,3540508501_1,4,4,4,4,4,4,1632,how does the man help the lady when she s holding the gun,CH,clap for her,do a peace sign with hand,pat her back,dance for her,helps her hold the gun,True,False,True,True,True,True,True
4796,7492345390_5,2,2,2,2,0,2,1379,how was the boy held by the lady,CH,on her shoulders,behind her back,on her lap,by a baby leash,by a pram,True,False,True,True,True,False,True
4799,4630037573_9,2,2,2,2,1,2,541,why did the lady take a step forward in the middle of the video,CW,fidgeting,look at boy,to get nearer to the ball,pick up hat,finished playing,True,False,True,True,True,False,True
4800,11672562206_6,3,3,3,3,4,3,740,why did the lady put her cheeks on the dog s face in the middle,CW,smell dog,look and talk to dog,grooming,show affection,play with him,True,False,True,True,True,False,True
4805,3495630576_5,3,3,3,3,1,3,396,what is the weather outside,DO,team members,parade,swimming,rainy,teammates,True,False,True,True,True,False,True
4808,6317085607_1,0,0,0,0,0,0,2020,how does the man make his points clearer after speaking for a while,CH,hand gesture,point to the screen,loudspeaker,he calls the waiter to speak for him,stand higher,True,False,True,True,True,True,True
4809,4207981117_0,0,0,0,0,0,0,360,why did the woman hold onto a leash,CW,control dog,dog wants to jump into the pool,dog was near something dangerous,dog was barking loudly,prevent dog from hurting others,True,False,True,True,True,True,True
4815,3711711787_0,3,3,3,3,4,3,1001,why did the man in grey stretch his arm forward,CW,catching fish,exercising,catching ball,hold onto bar,taking food,True,False,True,True,True,False,True
4816,3312292397_0,1,1,1,1,4,1,1857,how did the baby direct the man s attention at the start,CH,hug him gently,pointing,talk and touch,caress his head,push the food with his hands,True,False,True,True,True,False,True
4822,3480618846_5,1,1,1,1,1,1,526,what activity is being carried out,TC,playing,walk,egg hunter,boxing,baseball,True,False,True,True,True,True,True
4823,3625960287_7,0,0,0,0,0,0,703,what does the woman in yellow do after caressing the crocodile for a while at the end of the video,TN,feels its leg,holds the book,dance with hands,carry baby up,taps the other sock,True,False,True,True,True,True,True
4826,5221530771_7,2,2,2,2,1,2,1056,what did the brown hair woman do while she looked at the blonde woman at the start,TC,jump,pointed at baby,shake her head,laugh,pay for grapes,True,False,True,True,True,False,True
4827,8277189448_1,3,3,3,3,1,3,870,why does the short girl bends down near the box after unhiding the face,CW,easier to put things in,get the rope,shocked,to take a closer look,playing with the baby,True,False,True,True,True,False,True
4831,2855649995_8,0,0,0,0,0,0,812,what does the girl do after putting the lemon on the white thing the second time,TN,forces it down,staring,point,scratch arms,she drinks it,True,False,True,True,True,True,True
4834,5402233708_4,3,3,3,3,1,3,372,where is this video taken,DL,speech event,roadside,studio,living room,outdoors,True,False,True,True,True,False,True
4854,8501394817_6,3,3,3,3,4,3,308,what did the boy try to do after the ball fell out of the hoop,TN,happy,fall down,mimic man,kick the ball,pick up blanket,True,False,True,True,True,False,True
4861,8032967534_5,0,0,0,0,0,0,2190,how did the man in suit ensured he can see clearly,DO,wear glasses,sitting upright,wave his hands,hand gestures,rub his eyes,True,False,True,True,True,True,True
4868,2405004230_13,4,4,4,4,4,4,1710,what did the lady with microphone do before she starts performing,TP,stand up,run,slide down,move closely to the camera,talk to the crowd,True,False,True,True,True,True,True
4872,5493350492_1,4,4,4,4,1,4,2697,how did the boy learn to do what the man is doing,CH,stand upright,looks at his script,lying down on the floor,copy the woman s action,copy the man s action,True,False,True,True,True,False,True
4880,8568772570_1,1,1,1,1,4,1,651,what did the lady with blue headband look at when the other lady is pulling the catapult,TC,stopped moving,catapult,jumps,copy her actions,playing piano,True,False,True,True,True,False,True
4883,4046784335_4,0,0,0,0,0,0,2697,what did the lady in white do after she first took out a block,TN,place it on the top,sit down,spit,look into camera,feed horse with grass,True,False,True,True,True,True,True
4884,7823823944_8,3,3,3,3,4,3,1233,how did the man in blue protect his head from injury in the video,DO,wipes sweat off with his hands,headband,lean on the wall,helmet,bandages,True,False,True,True,True,False,True
4891,6160350737_7,0,0,0,0,0,0,1140,how many cars drove past them,DC,two,three,seven,five,six,True,False,True,True,True,True,True
4902,4978371835_8,0,0,0,0,0,0,780,why does the baby hold on tightly to the metal string,CW,on swing,wants bracelet,pull the car,climbing,ring the bell,True,False,True,True,True,True,True
4910,13925904946_0,1,1,1,1,4,1,345,why can only the head of the dog be seen,CW,getting fed,water is deep,to play with him,to see who pet it,grab attention,True,False,True,True,True,False,True
4914,4696626424_7,3,3,3,3,1,3,1621,where is the baby hanging out,DL,forest,along the road,outside,house,on stage,True,False,True,True,True,False,True
4916,10922064546_4,2,2,2,2,4,2,2160,why is there a man in grey necktie standing beside,CW,playing the guitar,singing,watch man speaking,pose for camera,wave the torch,True,False,True,True,True,False,True
4920,2500623285_0,0,0,0,0,0,0,450,how was the dog resting on the beach at the beginning of the video,CH,lying,biting balls,jump up and down,roll over around,wag its tail,True,False,True,True,True,True,True
4927,3384417792_8,1,1,1,1,4,1,2457,how is the cereal made attractable towards kids,CH,flower-shaped,by making it colourful,alphabet-shaped,number-shaped,comes with free toys,True,False,True,True,True,False,True
4930,5588738404_0,4,4,4,4,4,4,931,why are the cats lying still on the chair at the beginning,CW,looking for food,waiting for man,scared of the big cat,change playing position,sleeping,True,False,True,True,True,True,True
4933,11342887364_0,2,2,2,2,0,2,318,what is the man doing as he walked around,TC,playing the guitar,a stick,he is dancing,move his hands,happy,True,False,True,True,True,False,True
4934,7198714574_4,2,2,2,2,4,2,1029,how do the people standing around together at the start feel,TC,tired,sad,happy,discomfort,relaxed,True,False,True,True,True,False,True
4938,3728184329_3,3,3,3,3,1,3,894,why does the man drop to the safety net below,CW,give it to the lady,to catch him when he falls,catch the cat,land safely,it was too heavy,True,False,True,True,True,False,True
4939,6176571322_4,1,1,1,1,4,1,384,how are the girls feel in this event,TC,no reaction,happy,solemn,nervous,sad,True,False,True,True,True,False,True
4943,3747186945_4,3,3,3,3,4,3,1179,why did the girl in braids turning to look at the back when she tries to find the item,CW,flatten the hair,take turns,reach the camera,she is looking for clues,to show baby something in her hands,True,False,True,True,True,False,True
4947,2792202513_3,4,4,4,4,4,4,401,how does the girl in pink feel,TC,sad,restricted,dizzy,worried,happy,True,False,True,True,True,True,True
4959,2458544634_8,0,0,0,0,0,0,1224,how is the dog not wet,CH,not in water,wearing jacket,safety vest,shook water off,wrapped in towel,True,False,True,True,True,True,True
4961,2700856270_5,0,0,0,0,0,0,819,what happens to the girl after turing around near the end,TN,fall down,pick up dog,chased by dog,clasp her hands,play the piano,True,False,True,True,True,True,True
4962,2811954360_7,3,3,3,3,1,3,1689,why are there flashes seen sometimes in the video,CW,power failure,a person changing light bulbs,waving light sticks in the dark,camera taking pictures,people are flickering with the lights,True,False,True,True,True,False,True
4968,8726215081_3,4,4,4,4,4,4,1621,why does the baby clap her hands occasionally while walking,CW,learning how to dance,encourage the dog to walk over,following actions on the tv,singing a song,excited,True,False,True,True,True,True,True
4973,4766274786_6,0,0,0,0,0,0,979,what did the girl do after the baby lost the balloon,TN,pass back balloon to baby,touch the baby s arm,lift baby above head,flip onto back,lost balance,True,False,True,True,True,True,True
4978,12884491894_1,4,4,4,4,4,4,850,what is the child playing with,DO,ride a tricycle,classmates,siblings,guitar,toy car,True,False,True,True,True,True,True
4980,6981148970_8,1,1,1,1,4,1,1225,how does the boy show his interest in the book especially at the end,CH,show book to man,point at the book,hug book,snatch it from girl,climb the book shelf,True,False,True,True,True,False,True
4985,5080289573_3,4,4,4,4,4,4,396,what did the girl in blue do when the girl in red lost her balance,TC,danced around,gave her a rod,holds onto the wooden plank,gets a safety belt,hold her,True,False,True,True,True,True,True
4991,3769768941_7,4,4,4,4,0,4,666,why did the person bend down after the middle part of the video,CW,adjust shoes,too see the other man,tie shoelaces,to touch the sandals,retrieve ball,True,False,True,True,True,False,True
5007,5995224103_7,4,4,4,4,4,4,1123,how did the girls react when they saw each other moving forward,TC,looks at dogs,burst into tears,bow,pose for the camera,they laughed,True,False,True,True,True,True,True
5009,9402994355_9,0,0,0,0,0,0,631,where is this video taken,DL,home,speech event,backyard,forest,road,True,False,True,True,True,True,True
5014,7610762882_7,2,2,2,2,1,2,838,what was the man in blue doing as the man in red ran forward,TC,drink from cup,push the man,hold the rope and watch,hug dog,clap,True,False,True,True,True,False,True
5026,8726215081_1,4,4,4,4,1,4,1621,why is there an adult squat in front of the baby,CW,tie his shoelaces,looking at him sleeping,adjust his socks,sing to the baby,supervise,True,False,True,True,True,False,True
5027,6691315951_6,0,0,0,0,0,0,1107,what did the bird that landed on the tree branch do after a while,TN,fly,float,continue cleaning itself,continue eating,pull leaves,True,False,True,True,True,True,True
5033,8696216243_7,3,3,3,3,1,3,890,what does the baby in purple do after the lady puts the toy on the ground at the start,TN,doing the same thing,pat the boy s head,no response,touch toy,happy,True,False,True,True,True,False,True
5036,7001228068_2,4,4,4,4,4,4,1233,why does the white dog follow the girl,CW,take food,wanted to her to feed him,play with her,show affection,the girl is holding the leash,True,False,True,True,True,True,True
5041,3631211612_4,4,4,4,4,4,4,730,why is the man with blue hat holding a phone,CW,talking,hit the drum set,demonstrating,he is performing a show,taking a video,True,False,True,True,True,True,True
5050,2822110402_4,0,0,0,0,0,0,918,how are the divers moving themselves in the water,CH,swimming,artifical mermaid tail,swaying from side to side,bending their knees,having equal people on each side of the boat,True,False,True,True,True,True,True
5051,3042965654_7,2,2,2,2,4,2,454,how does the man in black shirt prevent the equipment from failing in the middle of the video,CH,use two hands,controller,push it up,using the mouse,shake his head,True,False,True,True,True,False,True
5054,7238677454_11,4,4,4,4,4,4,375,why is the man looking at the girl constantly while pulling her forward,CW,make way for other babies,ensure girl cycles,woman is playing with baby,support her from falling,making sure she swim,True,False,True,True,True,True,True
5060,3480618846_4,0,0,0,0,0,0,526,where are the people hanging out,DL,forest,kitchen,bedroom,road,garden,True,False,True,True,True,True,True
5067,3098102850_5,3,3,3,3,4,3,681,how many cats are involved in the video,DC,four,three,one,two,five,True,False,True,True,True,False,True
5069,5780852028_7,1,1,1,1,4,1,1438,what did the man in red cap do after the man in black standing off stage raised his right hand,TN,scream,raise his hand,put his head down,take photos,go to the right side of ring,True,False,True,True,True,False,True
5075,9010710024_3,0,0,0,0,0,0,656,how are the four men positioned in the video,TC,standing side by side,next to the carpet,beside a camera,riding a motorbike,beside the pond,True,False,True,True,True,True,True
5076,8132052550_3,1,1,1,1,1,1,1345,why does the boy in grey widen the distance between his legs towards the end,CW,show he finish chewing,stabilize himself,man pull him forward,want to speak,hump on the way,True,False,True,True,True,True,True
5078,2506141110_1,1,1,1,1,4,1,1302,what are the other two people in front of the lady doing as she claps and shakes her body,TC,point to someone,dance,clap,scrunch her legs,shake hands too,True,False,True,True,True,False,True
5085,9598464461_5,4,4,4,4,4,4,1180,why does the girl reach out her hand,CW,feed the dogs,hi-five,ask for sweets,interested in the book,to caress the goat,True,False,True,True,True,True,True
